StationID,Region,Year,Date,TempMax(°C),TempMin(°C),Precipitation(mm),WindSpeed(km/h),Humidity(%),AirPressure(hPa),SolarRadiation(kWh/m²),CO2(ppm),SatelliteImageryIndex,WeatherStationScore,SensorReliabilityIndex,Rainfall(mm),,Date
STN001,North America,2005,4/17/2005,29.1,20.3,799.2,17.6,67.5,1020.6,1227.7,381,0.54,90.4,0.8,122.2,,NA
STN001,North America,2005,11/18/2005,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,45.32,,NA
STN001,North America,2005,2/21/2005,30.8,10.3,327.1,17.8,48.8,999.4,1241.2,393.6,0.73,98.2,0.78,189.88,,NA
STN004,Africa,2005,9/1/2005,40,14.1,1063.2,12.1,55.5,1011.6,1806.9,393.2,0.59,83.2,0.97,155.56,,1/9/2005
STN002,Europe,2005,4/28/2005,43.5,14.6,840.9,8.9,72.7,1010.1,1640.3,384.6,0.55,83.7,0.97,159.63,,NA
STN001,North America,2005,10/21/2005,29.1,20.3,799.2,17.6,67.5,1020.6,1227.7,381,0.54,90.4,0.8,36.94,,NA
STN002,Europe,2005,12/25/2005,24.3,5.6,604.3,19.6,52.7,1012.2,1038,384.4,0.59,90.2,0.75,24.17,,NA
STN004,Africa,2005,2/2/2005,32.8,9.3,377.1,6.8,68.9,996.8,1137.3,389.5,0.93,92.8,0.76,15.32,,2/2/2005
STN004,Africa,2005,11/12/2005,35.4,22.5,1112.7,8.4,50.5,992.7,1605.5,386,0.98,94.3,0.7,11.83,,12/11/2005
STN003,Asia,2005,9/25/2005,27.1,7.5,625.8,12.8,44.8,997.4,1696.9,393.1,0.85,99.7,0.76,230.57,,NA
STN003,Asia,2005,3/1/2005,24.8,13.6,1008.1,17.9,74.4,1000.6,1021.1,411,0.6,88.2,0.95,193.19,,1/3/2005
STN002,Europe,2005,11/15/2005,42.6,19.7,1057.1,5.7,47,1009.2,1085.9,381.5,0.77,80.7,0.77,203.05,,NA
STN002,Europe,2005,3/12/2005,24.3,16,821.8,19.3,51.5,1025.8,1164.4,390.6,0.99,85.6,0.89,111.47,,12/3/2005
STN002,Europe,2005,2/9/2005,23.3,18.4,499.7,11.5,43.1,980.1,1376.7,389.2,0.75,97.9,0.73,113.8,,9/2/2005
STN001,North America,2005,2/11/2005,24.6,13,399.3,10.4,72.9,995.2,1952.5,400.8,0.65,90.5,0.91,99.14,,11/2/2005
STN001,North America,2005,8/27/2005,37.8,14.9,829.1,12.4,79.1,998.8,1992.4,389,0.89,93.4,0.78,230,,NA
STN002,Europe,2005,5/18/2005,36.9,17.5,1028.6,9.9,78.3,987.6,1821.5,399,0.95,86.8,0.77,43.77,,NA
STN003,Asia,2005,10/24/2005,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,3.49,,NA
STN004,Africa,2005,1/12/2005,35.4,22.5,1112.7,8.4,50.5,992.7,1605.5,386,0.98,94.3,0.7,142.34,,12/1/2005
STN002,Europe,2005,12/14/2005,24.3,16,821.8,19.3,51.5,1025.8,1164.4,390.6,0.99,85.6,0.89,137.65,,NA
STN001,North America,2005,12/18/2005,42.8,17.4,1140.4,10.2,59.5,1020.4,2132.9,397.1,0.8,97.7,0.71,87.58,,NA
STN004,Africa,2005,12/4/2005,35.4,22.5,1112.7,8.4,50.5,992.7,1605.5,386,0.98,94.3,0.7,196.86,,4/12/2005
STN002,Europe,2005,12/18/2005,29.2,19.4,972.6,14.2,43.3,1029.7,2415.2,418.1,0.6,94.1,0.92,106.53,,NA
STN003,Asia,2005,6/27/2005,34.4,23.2,404,7.3,73.9,1021.9,2220.1,391.5,0.87,86.6,0.89,52.4,,NA
STN003,Asia,2005,7/16/2005,34.1,12.2,930.2,15.3,40.9,997.1,1080.8,413.1,0.91,89.9,0.73,132.82,,NA
STN002,Europe,2005,11/6/2005,20.7,24,255.3,9.4,46,1001.7,1656.2,391.5,0.52,81.5,0.77,108.91,,6/11/2005
STN001,North America,2005,10/17/2005,21.7,7.7,944.6,17.7,45,1020.3,1723.3,385.1,0.65,96.1,0.92,168.74,,NA
STN003,Asia,2005,4/10/2005,22.4,22.1,1058.1,15.9,71.4,983.9,1717.4,405.6,0.53,94.6,0.8,164.56,,10/4/2005
STN003,Asia,2005,8/21/2005,33.8,13.7,434.5,18.8,42.8,1014.6,1481,411.9,0.68,84.8,0.89,52.63,,NA
STN003,Asia,2005,12/28/2005,31.1,17,775.4,6,69.8,1018.3,1464.6,392.2,0.8,85.8,0.73,183.44,,NA
STN003,Asia,2005,7/2/2005,33.2,13.8,924.3,17.4,75.7,995.2,1208.5,394.9,0.59,95.4,0.89,227.32,,2/7/2005
STN001,North America,2005,6/20/2005,36,16.5,212.8,13.7,42.1,998.5,1631.5,403.4,0.77,80.1,0.7,11.94,,NA
STN004,Africa,2005,4/8/2005,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,60.56,,8/4/2005
STN003,Asia,2005,9/14/2005,32.9,19.6,360.3,12.8,70.7,1019.8,2253.3,403.8,0.51,82.4,0.9,145.19,,NA
STN002,Europe,2005,3/20/2005,28.9,19.8,506.1,15.8,71.9,1022.5,1811.7,404.4,0.91,89.8,0.85,225.38,,NA
STN002,Europe,2005,9/26/2005,34.2,20.2,1196.4,5.7,69.3,1008,1606,389,0.97,96.2,0.89,169.24,,NA
STN004,Africa,2005,3/26/2005,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,135.11,,NA
STN003,Asia,2005,8/27/2005,27.1,7.5,625.8,12.8,44.8,997.4,1696.9,393.1,0.85,99.7,0.76,155.53,,NA
STN004,Africa,2005,3/10/2005,32.3,5.8,892.9,13.6,41.7,1001.2,1788.5,388.5,0.66,99.4,0.95,235.7,,10/3/2005
STN004,Africa,2005,11/9/2005,32.3,5.8,892.9,13.6,41.7,1001.2,1788.5,388.5,0.66,99.4,0.95,49.56,,9/11/2005
STN001,North America,2005,6/3/2005,43.1,20.5,582.8,15.7,46.6,992.3,1371,398.5,0.54,81,0.97,82.52,,3/6/2005
STN003,Asia,2005,12/20/2005,25.5,11.1,896.4,19.8,56.7,995.1,2454.4,402.7,0.8,98.9,0.91,89.24,,NA
STN002,Europe,2005,3/6/2005,24.3,5.6,604.3,19.6,52.7,1012.2,1038,384.4,0.59,90.2,0.75,67.67,,6/3/2005
STN004,Africa,2005,6/5/2005,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,130.79,,5/6/2005
STN003,Asia,2005,7/15/2005,43.7,9.7,609.4,17.1,50.1,993.9,2192.8,387.9,0.52,87.3,0.89,56.9,,NA
STN003,Asia,2005,1/2/2005,33.2,13.8,924.3,17.4,75.7,995.2,1208.5,394.9,0.59,95.4,0.89,222.12,,2/1/2005
STN003,Asia,2005,10/6/2005,41.4,17.8,462.4,15.3,54,1005.7,1868.4,390.6,0.52,86.4,0.75,104.89,,6/10/2005
STN001,North America,2005,10/17/2005,21.7,7.7,944.6,17.7,45,1020.3,1723.3,385.1,0.65,96.1,0.92,240.03,,NA
STN004,Africa,2005,12/4/2005,34.6,10.9,224.2,14.7,50.6,1005.8,2341.4,396,0.9,90.1,0.82,27.4,,4/12/2005
STN001,North America,2006,12/4/2006,20.1,6.3,486.4,11.4,75.1,991.4,2206.1,403.6,0.56,96.1,0.89,96.04,,4/12/2006
STN002,Europe,2006,5/6/2006,20.2,12.5,1006,19.8,52,991.2,1875.2,386.7,0.98,92.5,0.89,105.58,,6/5/2006
STN002,Europe,2006,2/20/2006,24.3,5.6,604.3,19.6,52.7,1012.2,1038,384.4,0.59,90.2,0.75,105.44,,NA
STN004,Africa,2006,2/24/2006,32.8,9.3,377.1,6.8,68.9,996.8,1137.3,389.5,0.93,92.8,0.76,122.69,,NA
STN002,Europe,2006,6/1/2006,20.7,24,255.3,9.4,46,1001.7,1656.2,391.5,0.52,81.5,0.77,221.19,,1/6/2006
STN001,North America,2006,5/10/2006,36.5,24.7,354.4,13.2,47.5,991.9,1266.3,386.3,0.81,80.6,0.8,74.2,,10/5/2006
STN004,Africa,2006,1/3/2006,30.7,17.8,800.1,10.8,40.5,985.8,1991.6,397.5,0.96,86.5,0.77,107.08,,3/1/2006
STN002,Europe,2006,10/12/2006,26.8,9,707.8,7.4,69.6,995.1,1371.7,393.7,0.83,88.5,0.7,49.83,,12/10/2006
STN002,Europe,2006,11/28/2006,20.2,12.5,1006,19.8,52,991.2,1875.2,386.7,0.98,92.5,0.89,25.27,,NA
STN003,Asia,2006,5/27/2006,32.9,19.6,360.3,12.8,70.7,1019.8,2253.3,403.8,0.51,82.4,0.9,43.12,,NA
STN002,Europe,2006,3/3/2006,44.6,17.7,761.2,10.1,52.7,1008.2,1735.2,388.2,0.57,92.7,0.73,116.04,,3/3/2006
STN004,Africa,2006,11/18/2006,32.2,6.4,881.8,19.6,56.4,1007.3,1963.2,406.6,0.95,82.2,0.97,164.89,,NA
STN002,Europe,2006,11/19/2006,44.6,17.7,761.2,10.1,52.7,1008.2,1735.2,388.2,0.57,92.7,0.73,242.03,,NA
STN003,Asia,2006,1/12/2006,21.4,18.9,828.5,10,52.4,993,2058.6,408,0.89,98.2,0.94,231.17,,12/1/2006
STN004,Africa,2006,4/23/2006,34.8,14,363.3,10.8,74.4,1015.3,1468.1,411,0.56,94.6,0.75,228.03,,NA
STN003,Asia,2006,3/13/2006,20.6,14,363.2,7.8,73.5,995.1,1406.1,402,0.57,92.2,0.99,94.4,,NA
STN002,Europe,2006,8/27/2006,44.6,17.7,761.2,10.1,52.7,1008.2,1735.2,388.2,0.57,92.7,0.73,204.12,,NA
STN002,Europe,2006,5/23/2006,23.3,18.4,499.7,11.5,43.1,980.1,1376.7,389.2,0.75,97.9,0.73,141.05,,NA
STN003,Asia,2006,5/14/2006,33.8,13.7,434.5,18.8,42.8,1014.6,1481,411.9,0.68,84.8,0.89,91.71,,NA
STN003,Asia,2006,12/22/2006,23.3,6.8,865,7,63.1,992.1,1686.1,397.5,0.65,86.3,0.98,164.42,,NA
STN001,North America,2006,3/25/2006,21.7,7.7,944.6,17.7,45,1020.3,1723.3,385.1,0.65,96.1,0.92,0.68,,NA
STN003,Asia,2006,3/20/2006,32.3,22.8,759.6,9.9,57.2,993.4,1172.2,388.3,0.98,88.3,0.86,143.88,,NA
STN001,North America,2006,4/25/2006,28.7,20.9,277.3,6.1,49.9,1004.6,2002.6,407.2,0.92,95.2,0.85,31.6,,NA
STN004,Africa,2006,9/26/2006,32.3,5.8,892.9,13.6,41.7,1001.2,1788.5,388.5,0.66,99.4,0.95,86.66,,NA
STN002,Europe,2006,5/7/2006,20.2,12.5,1006,19.8,52,991.2,1875.2,386.7,0.98,92.5,0.89,122.77,,7/5/2006
STN004,Africa,2006,8/14/2006,38.1,11.5,399.5,19.4,57.2,1019.2,1874.7,414.3,0.72,90.8,0.93,6.67,,NA
STN001,North America,2006,10/6/2006,34.5,20,334,12.6,43.3,1000.6,2307.1,392.2,0.5,82.9,0.87,218.91,,6/10/2006
STN001,North America,2006,4/6/2006,30.9,22.9,479.1,13.5,58.8,1001,1347.9,399.5,0.63,84.6,0.88,178.82,,6/4/2006
STN002,Europe,2006,2/26/2006,44.5,18.7,868.2,9.5,44.8,1007.7,1848.4,419.8,0.64,85,0.87,12.96,,NA
